userid,movieid,rating,predict,miss
1,508,5.0,3.4,1.6
1,509,4.0,3.8,0.2
1,515,5.0,3.8,1.2
1,539,3.0,4.6,1.6
1,588,4.0,3.3,0.7
1,589,3.0,1.4,1.6
1,592,3.0,3.6,0.6
1,597,4.0,3.2,0.8
1,648,5.0,4.1,0.9
2,420,5.0,3.4,1.6
2,432,4.0,2.7,1.3
2,434,4.0,2.4,1.6
2,454,5.0,2.6,2.4
2,457,5.0,0.7,4.3
2,553,5.0,3.6,1.4
2,588,4.0,2.4,1.6
2,590,4.0,3.4,0.6
2,593,5.0,2.2,2.8
2,595,5.0,3.0,2.0
3,919,5.0,3.6,1.4
4,805,4.0,1.9,2.1
5,1079,5.0,2.5,2.5
5,1080,4.0,3.3,0.7
5,1081,4.0,3.1,0.9
5,1082,3.0,3.7,0.7
5,1083,4.0,3.0,1.0
5,1084,4.0,4.5,0.5
5,1086,4.0,4.1,0.1
5,1089,5.0,4.1,0.9
5,1090,3.0,3.3,0.3
5,1093,5.0,3.7,1.3
5,1094,4.0,4.1,0.1
5,1095,4.0,3.7,0.3
5,1096,4.0,3.7,0.3
5,1097,3.0,4.0,1.0
5,1099,3.0,2.7,0.3
5,1101,2.0,2.8,0.8
5,1103,5.0,3.7,1.3
5,1104,5.0,3.7,1.3
5,1120,5.0,4.5,0.5
5,1124,4.0,3.7,0.3
5,1128,3.0,1.7,1.3
5,1129,4.0,4.2,0.2
5,1130,3.0,2.4,0.6
5,1132,4.0,3.7,0.3
5,1136,5.0,2.4,2.6
5,1161,4.0,3.3,0.7
5,1162,4.0,4.5,0.5
5,1171,5.0,3.3,1.7
5,1172,3.0,3.7,0.7
5,1175,5.0,4.5,0.5
5,1179,4.0,2.1,1.9
5,1186,4.0,3.7,0.3
5,1187,3.0,3.7,0.7
5,1189,5.0,3.5,1.5
5,1190,3.0,4.5,1.5
5,1191,4.0,2.3,1.7
5,1192,5.0,3.5,1.5
5,1193,4.0,3.7,0.3
5,1196,3.0,3.3,0.3
5,1197,3.0,4.4,1.4
5,1198,4.0,1.5,2.5
5,1199,5.0,2.6,2.4
6,780,5.0,3.5,1.5
6,788,3.0,3.2,0.2
6,832,3.5,2.8,0.7
6,852,3.5,3.9,0.4
6,858,4.0,3.7,0.3
6,953,5.0,4.0,1.0
6,1036,4.0,3.6,0.4
6,1059,5.0,3.4,1.6
6,1060,4.0,3.4,0.6
6,1073,4.0,2.8,1.2
6,1097,3.5,4.0,0.5
6,1101,4.0,3.3,0.7
6,1148,4.0,3.6,0.4
6,1196,5.0,3.5,1.5
7,1094,4.0,3.0,1.0
8,924,4.0,3.7,0.3
8,1036,4.0,3.7,0.3
8,1047,3.5,4.0,0.5
8,1073,2.5,2.5,0.0
8,1079,4.5,0.8,3.7
8,1080,5.0,2.3,2.7
8,1084,4.5,3.6,0.9
8,1089,4.5,4.1,0.4
8,1090,3.0,3.4,0.4
8,1092,3.0,4.1,1.1
8,1093,3.0,2.6,0.4
8,1094,3.5,3.3,0.2
8,1097,3.0,3.7,0.7
8,1101,3.0,2.9,0.1
8,1125,4.5,0.8,3.7
8,1136,5.0,1.5,3.5
8,1175,4.5,3.7,0.8
8,1193,4.5,2.6,1.9
8,1196,4.0,3.1,0.9
8,1197,2.0,3.8,1.8
8,1198,4.0,0.8,3.2
8,1199,4.5,2.3,2.2
9,951,5.0,3.0,2.0
9,956,4.0,3.8,0.2
9,1010,5.0,3.8,1.2
9,1013,4.0,4.3,0.3
9,1041,4.0,3.1,0.9
9,1090,5.0,3.7,1.3
9,1093,4.0,3.1,0.9
9,1103,3.0,3.1,0.1
9,1104,5.0,3.1,1.9
9,1179,4.0,2.8,1.2
10,1101,3.0,2.5,0.5
11,1023,4.0,2.5,1.5
11,1025,3.0,2.8,0.2
11,1028,3.0,3.2,0.2
11,1029,4.0,3.4,0.6
11,1030,2.0,2.8,0.8
11,1031,2.0,2.4,0.4
11,1032,3.0,3.0,0.0
11,1033,2.0,3.5,1.5
11,1035,3.0,1.8,1.2
11,1036,4.0,2.6,1.4
11,1057,3.0,2.7,0.3
11,1060,3.0,3.4,0.4
11,1073,4.0,3.2,0.8
11,1077,4.0,2.0,2.0
11,1081,2.0,2.7,0.7
11,1088,2.0,2.7,0.7
11,1093,2.0,2.6,0.6
11,1095,3.0,2.6,0.4
11,1097,4.0,2.6,1.4
11,1127,3.0,2.4,0.6
11,1129,3.0,2.4,0.6
11,1131,4.0,2.5,1.5
11,1132,4.0,2.6,1.4
11,1147,4.0,0.0,4.0
11,1148,4.0,2.8,1.2
11,1171,3.0,2.3,0.7
11,1190,3.0,3.5,0.5
11,1193,3.0,2.6,0.4
11,1196,4.0,1.7,2.3
11,1197,4.0,3.6,0.4
11,1198,5.0,0.4,4.6
11,1199,4.0,1.4,2.6
12,613,3.0,2.9,0.1
12,616,3.0,1.2,1.8
12,736,2.0,4.6,2.6
12,748,3.0,3.9,0.9
12,761,5.0,1.7,3.3
12,780,5.0,4.4,0.6
12,921,3.0,2.9,0.1
12,1061,3.0,1.4,1.6
12,1073,4.0,1.7,2.3
13,543,5.0,2.5,2.5
13,593,4.0,3.7,0.3
13,661,3.5,1.3,2.2
14,500,4.0,4.5,0.5
14,539,5.0,4.2,0.8
14,588,4.0,3.2,0.8
14,589,4.0,2.4,1.6
14,592,4.0,3.6,0.4
14,593,5.0,4.0,1.0
14,595,4.0,2.6,1.4
17,1013,3.0,2.5,0.5
18,592,3.0,2.7,0.3
18,593,4.0,2.3,1.7
18,595,3.0,2.7,0.3
18,597,3.0,1.4,1.6
19,800,3.0,1.5,1.5
19,924,5.0,2.4,2.6
19,968,4.0,3.8,0.2
19,1128,3.0,2.6,0.4
19,1130,4.0,2.5,1.5
20,1104,5.0,4.2,0.8
20,1193,5.0,4.2,0.8
21,1196,3.0,2.8,0.2
22,780,3.5,3.1,0.4
22,1198,3.5,1.0,2.5
23,500,3.0,3.6,0.6
23,527,5.0,3.6,1.4
23,587,5.0,4.9,0.1
23,589,5.0,3.2,1.8
23,590,5.0,2.7,2.3
23,592,5.0,3.9,1.1
23,593,5.0,3.1,1.9
24,914,4.0,3.2,0.8
24,953,4.5,2.1,2.4
24,954,4.0,2.3,1.7
24,1036,2.0,3.2,1.2
24,1047,1.0,3.9,2.9
24,1060,3.5,3.0,0.5
24,1088,1.5,2.5,1.0
24,1185,3.0,2.3,0.7
25,1080,4.0,0.3,3.7
25,1089,3.5,2.1,1.4
25,1136,5.0,3.3,1.7
25,1193,4.5,1.7,2.8
26,852,1.0,3.6,2.6
26,899,4.0,2.7,1.3
26,924,4.0,3.8,0.2
26,1041,4.0,3.4,0.6
26,1047,3.0,3.9,0.9
26,1061,3.0,2.2,0.8
26,1086,4.0,3.9,0.1
26,1094,4.0,3.8,0.2
26,1120,4.0,4.0,0.0
27,588,4.0,4.2,0.2
27,590,5.0,4.3,0.7
27,592,3.0,2.2,0.8
27,594,5.0,5.1,0.1
27,595,4.0,2.4,1.6
27,596,4.0,2.9,1.1
27,597,3.0,1.6,1.4
27,631,3.0,4.2,1.2
27,688,3.0,4.5,1.5
28,1136,5.0,4.0,1.0
28,1199,5.0,0.2,4.8
29,593,5.0,2.8,2.2
29,632,4.0,3.6,0.4
29,638,4.0,2.7,1.3
29,641,1.0,3.7,2.7
29,648,4.0,6.1,2.1
29,649,4.0,4.3,0.3
29,665,4.0,4.1,0.1
29,712,3.0,3.9,0.9
29,718,4.0,1.7,2.3
29,736,4.0,4.1,0.1
29,768,1.0,3.8,2.8
30,1129,3.0,5.4,2.4
30,1130,3.0,3.2,0.2
30,1135,5.0,0.4,4.6
30,1196,5.0,5.6,0.6
31,953,4.5,4.0,0.5
31,969,4.5,3.4,1.1
31,1028,4.0,4.0,0.0
31,1036,4.0,3.6,0.4
31,1089,4.0,3.5,0.5
31,1090,4.0,2.9,1.1
31,1101,4.0,3.4,0.6
31,1136,4.0,2.6,1.4
31,1193,4.0,3.4,0.6
31,1196,4.5,3.6,0.9
31,1197,5.0,5.6,0.6
31,1198,4.0,2.2,1.8
31,1199,3.0,3.1,0.1
32,780,3.0,5.6,2.6
32,805,4.0,2.4,1.6
32,858,5.0,2.7,2.3
34,1126,5.0,1.3,3.7
35,1097,3.0,2.8,0.2
35,1148,5.0,3.3,1.7
35,1175,4.5,4.5,0.0
35,1193,4.5,2.8,1.7
35,1196,4.5,3.2,1.3
35,1197,5.0,6.4,1.4
35,1198,4.5,1.1,3.4
36,588,3.0,2.0,1.0
36,590,4.0,3.2,0.8
36,592,3.0,3.6,0.6
36,595,4.0,2.7,1.3
37,908,4.0,3.7,0.3
37,928,4.0,3.3,0.7
37,1036,3.5,3.5,0.0
37,1037,2.0,3.0,1.0
37,1089,4.0,4.5,0.5
37,1090,4.0,3.0,1.0
37,1095,4.5,2.5,2.0
37,1178,4.0,3.0,1.0
37,1193,4.0,2.5,1.5
37,1196,4.0,3.2,0.8
37,1197,4.0,4.5,0.5
37,1199,5.0,2.1,2.9
38,919,3.0,1.8,1.2
38,920,1.0,1.6,0.6
38,924,4.0,3.7,0.3
38,946,4.5,2.2,2.3
38,968,4.0,2.5,1.5
38,1011,1.0,2.2,1.2
38,1028,0.5,1.7,1.2
38,1035,0.5,2.0,1.5
38,1036,5.0,3.6,1.4
38,1037,3.0,3.2,0.2
38,1086,4.0,4.2,0.2
38,1090,3.5,1.5,2.0
38,1097,4.0,2.7,1.3
38,1127,3.5,3.6,0.1
38,1128,4.0,1.6,2.4
38,1129,4.5,3.6,0.9
38,1130,3.0,0.5,2.5
38,1148,2.5,2.5,0.0
38,1168,1.0,3.1,2.1
38,1196,5.0,3.7,1.3
38,1197,5.0,5.0,0.0
39,799,3.0,1.9,1.1
39,829,0.5,2.5,2.0
40,708,4.0,3.2,0.8
40,919,2.0,-0.5,2.5
40,1020,2.0,3.3,1.3
40,1060,4.0,3.4,0.6
40,1079,3.0,1.4,1.6
40,1136,3.0,2.7,0.3
40,1188,4.0,3.2,0.8
40,1196,3.0,-0.8,3.8
40,1197,5.0,2.2,2.8
41,1172,4.5,0.5,4.0
41,1193,4.0,0.5,3.5
41,1197,4.5,4.7,0.2
42,608,3.0,4.6,1.6
42,661,4.0,4.5,0.5
42,733,5.0,3.7,1.3
42,736,4.0,4.1,0.1
42,778,4.0,5.4,1.4
42,780,4.0,4.0,0.0
42,786,5.0,4.0,1.0
42,832,5.0,3.0,2.0
42,836,3.0,3.7,0.7
42,1004,4.0,3.4,0.6
42,1183,4.0,3.2,0.8
44,999,3.0,1.6,1.4
44,1059,3.0,0.9,2.1
44,1127,4.0,4.2,0.2
45,1111,3.0,0.3,2.7
45,1136,4.0,1.8,2.2
45,1172,4.0,3.2,0.8
45,1175,4.0,3.4,0.6
45,1193,3.0,3.2,0.2
45,1196,2.0,2.1,0.1
45,1197,2.0,4.1,2.1
45,1198,2.5,0.5,2.0
45,1199,3.0,1.0,2.0
46,1095,4.5,3.6,0.9
46,1096,4.0,3.6,0.4
46,1103,3.0,3.6,0.6
46,1104,5.0,3.6,1.4
46,1136,5.0,1.9,3.1
46,1148,4.0,2.5,1.5
46,1172,4.0,3.6,0.4
46,1173,3.5,4.3,0.8
46,1175,4.0,4.0,0.0
46,1179,4.0,3.1,0.9
46,1183,3.5,3.3,0.2
46,1185,5.0,3.6,1.4
46,1190,3.5,3.7,0.2
46,1193,4.5,3.6,0.9
46,1196,4.0,3.1,0.9
46,1199,4.0,2.0,2.0
48,1079,4.0,1.9,2.1
48,1081,5.0,3.3,1.7
48,1094,4.0,0.9,3.1
48,1097,4.0,3.8,0.2
48,1125,3.0,1.9,1.1
48,1136,5.0,2.6,2.4
48,1150,4.0,2.8,1.2
48,1171,5.0,2.4,2.6
48,1173,2.0,4.5,2.5
48,1188,4.0,3.1,0.9
48,1194,2.0,2.4,0.4
48,1196,3.0,2.6,0.4
48,1197,4.0,3.8,0.2
48,1199,2.0,2.5,0.5
49,908,3.5,4.1,0.6
49,1079,4.0,0.9,3.1
49,1089,4.0,4.3,0.3
49,1101,4.0,3.3,0.7
49,1127,3.5,2.8,0.7
49,1136,3.5,0.5,3.0
49,1193,2.5,3.2,0.7
49,1196,1.0,1.6,0.6
49,1198,4.0,0.5,3.5
50,466,3.0,3.6,0.6
50,500,4.0,4.2,0.2
50,520,3.0,2.4,0.6
50,585,3.0,2.4,0.6
50,588,3.0,2.2,0.8
50,589,4.0,2.6,1.4
50,590,4.0,4.3,0.3
50,592,3.0,2.4,0.6
50,595,3.0,2.1,0.9
50,597,4.0,3.4,0.6
